mean_magnitude,std_magnitude,max_magnitude,total_power,low_freq_power,high_freq_power,EquipmentId,PercentWear
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,35
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,35
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,35
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,31
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,31
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,31
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,27
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,27
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,27
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,93
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,93
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,93
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,95
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,95
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,95
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
4131.978313659329,33510.11198452563,7950368.0,74711095705600.0,0.9834086382738345,0.0002615580324593,56221,18
3329.499790644413,31826.82766384515,7623720.0,67110995755007.984,0.9881430777969218,0.00019491206506915757,56221,18
