mean_magnitude,std_magnitude,max_magnitude,energy,low_freq_energy,high_freq_energy,freq_ratio,EquipmentId,PercentWear
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,35
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,35
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,35
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,31
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,31
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,31
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,27
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,27
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,27
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,93
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,93
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,93
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,95
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,95
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,95
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,8
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,8
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,8
