mean_magnitude,std_magnitude,max_magnitude,energy,low_freq_energy,high_freq_energy,freq_ratio,EquipmentId,PercentWear
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,8
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,8
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,8
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,12
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,12
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,12
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,12
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,12
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,12
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,15
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,15
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,15
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,18
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,18
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,19
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,19
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,19
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,15
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,15
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,15
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,21
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,21
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,21
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,22
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,22
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,22
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,22
15309.883633346533,219599.61086289154,335407200.0,1.3397773352509442e+17,3275836546991.6465,3312180572035.263,0.9890271607319754,56221,22
12035.804743533,208061.19035797025,321621341.0,1.2008720663377922e+17,2992963320843.449,3027662028471.6147,0.9885394382523991,56221,22
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,12
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,12
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,12
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,12
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,12
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,12
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,59
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,59
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,59
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,63
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,63
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,63
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,59
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,59
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,59
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,76
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,76
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,76
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,18
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,17
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,17
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,17
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,47
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,47
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,47
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,52
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,52
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,52
23643.05285710473,239882.70067388393,372162973.0,1.6064235610490886e+17,16252915940043.338,16400556248311.379,0.9909978475100049,23688,43
